Identifier;"Competency Question /
 Natural language sentence (fact)";Answer (For Competency Questions);Status (Proposed, Accepted, Rejected, Deprecated);Comments (optional);Extracted from (provenance);Relation with other requirements (optional);Associated ontology elements (to be used after ontology  conceptualization assignment);;;;;;;;;;;;; 
R21;What is the male count of a given director?;The number of male-specific pronouns from director's IMDb bio page;Proposed;Field:male_count;directors.json;R3;Director, hasMaleCount;;;;;;;;;;;;;
R22;What is the female count of a given director?;The number of female-specific pronouns from director's IMDb bio page;Proposed;Field:female_count;directors.json;R3;Director, hasFemaleCount;;;;;;;;;;;;;
R23;Does the given director have actor credits?;A boolean value;Proposed;Field:actor_credits;directors.json;R3;Director, hasActorCredits;;;;;;;;;;;;;
R24;Does the given director have actress credits?;A boolean value;Proposed;Field:actress_credits;directors.json;R3;Director, hasActressCredits;;;;;;;;;;;;;
R25;What is the name of a given producer?;The name linked to the producer;Proposed;Field:name;producers.json;R4;Producer, hasName;;;;;;;;;;;;;
R26;In what movies did a given producer participate?;One or more movies linked to the producer;Proposed;Field:movies_list (list of role, year, movie_id triplets);producers.json;R1, R4,R11;Producer, Movie, producesA;;;;;;;;;;;;;
R27;What is the gender of a given producer?;The gender linked to the producer;Proposed;Field:gender;producers.json;R4;Producer, hasGender;;;;;;;;;;;;;
R28;Which was the first movie a given producer participated in?;The year of the first movie produced by the producer, can be more than one related to the specific role (producer, executive or associate);Proposed;Field:first_movie, first_producer_movie, first_executive_movie, first_associate_movie;producers.json;R4;Producer, hasFirstMovie, hasFirstProducerMovie, has FirstExecutiveMovie, hasFirstAssociateMovie;;;;;;;;;;;;;
R29;Which was the last movie a given producer participated in?;The year of the last movie produced by the producer can be more than one related to the specific role (producer, executive or associate);Proposed;Field:last_movie, last_producer_movie, last_executive_movie, last_associate_movie;producers.json;R4;Producer, hasLastMovie, hasLastProducerMovie, hasLastExecutiveMovie, hasLastAssociateMovie;;;;;;;;;;;;;
R30;What is the male count of a given producer?;The number of male-specific pronouns from producer's IMDb bio page;Proposed;Field:male_count;producers.json;R4;Producer, hasMaleCount;;;;;;;;;;;;;
R31;What is the female count of a given producer?;The number of female-specific pronouns from producer's IMDb bio page;Proposed;Field:female_count;producers.json;R4;Producer, hasFemaleCount;;;;;;;;;;;;;
R32;Does the given producer have actor credits?;A boolean value;Proposed;Field:actor_credits;producers.json;R4;Producer, hasActorCredits;;;;;;;;;;;;;
R33;Does the given producer have actress credits?;A boolean value;Proposed;Field:actress_credits;producers.json;R4;Producer, hasActressCredits;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
R34;Which movie is rated?;A movie with ratings;Proposed;Field:titleId;IMDb_ratings.csv;Root requirement for ratings, R1;Rating;;;;;;;;;;;;;
R35;What is the average rating of a given movie?;A numeric value on a 1-10 scale;Proposed;Field:averageRating;IMDb_ratings.csv;R40;Rating, hasRating;;;;;;;;;;;;;
R36;What is the amount of votes of a given rating?;A numeric value min 5 ;Proposed;Field:numVotes;IMDb_ratings.csv;R40;Rating, hasNumVotes;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
R37;What Academy Award ceremonies are represented in the dataset?;The complete list of all Academy Awards Ceremony entities (1st through present) with their unique identifiers and years;Proposed;field:ceremony;the_oscar_nominees.csv;Root requirement for oscars;Ceremony, hasCeremonyNumber, hasYear;;;;;;;;;;;;;
R38;What movies have been nominated for Academy Awards?;The comprehensive set of Film entities that received at least one nomination across all ceremonies;Proposed;field:film;the_oscar_nominees.csv;R12, R37;Ceremony, Movie, hasFilm;;;;;;;;;;;;;
R39;What actors, directors, and other professionals have been nominated for Academy Awards?;The complete list of Person entities who received at least one nomination in any category;Proposed;field:name;the_oscar_nominees.csv;R13,R16,R26,R37;Ceremony, Actor, Director, Producer, hasNominee;;;;;;;;;;;;;
R40;What award categories exist in the Academy Awards?;The enumerated set of all Award Category entities;Proposed;field:category;the_oscar_nominees.csv;R37;Ceremony, hasLabel, hasCeremonyIntroduced;;;;;;;;;;;;;
R41;What year was an Academic Award Cerermony celebrated?;The year of the Oscar ceremony;Proposed;field:year_ceremony;the_oscar_nominees.csv;R37;Ceremony, hasYearCelebrated;;;;;;;;;;;;;
R42;Has a nominee won a certain ceremony?;A boolean value;Proposed;field:winner;the_oscar_nominees.csv;R37,R39;Ceremony, isWinner;;;;;;;;;;;;;
